dteday,instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2011-01-01,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985
2011-01-02,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801
2011-01-03,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349
2011-01-04,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562
2011-01-05,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600
2011-01-06,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606
2011-01-07,7,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510
2011-01-08,8,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959
2011-01-09,9,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822
2011-01-10,10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321
2011-01-11,11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263
2011-01-12,12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162
2011-01-13,13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406
2011-01-14,14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421
2011-01-15,15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248
2011-01-16,16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204
2011-01-17,17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000
2011-01-18,18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683
2011-01-19,19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650
2011-02-01,32,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360
2011-02-02,33,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526
2011-02-03,34,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550
2011-02-04,35,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708
2011-02-05,36,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005
2011-02-06,37,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623
2011-02-07,38,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712
2011-02-08,39,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530
2011-02-09,40,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605
2011-02-10,41,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538
2011-02-11,42,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746
2011-02-12,43,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472
2011-02-13,44,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589
2011-02-14,45,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913
2011-02-15,46,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815
2011-02-16,47,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115
2011-02-17,48,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475
2011-02-18,49,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927
2011-02-19,50,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635
2011-03-01,60,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851
2011-03-02,61,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134
2011-03-03,62,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685
2011-03-04,63,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944
2011-03-05,64,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077
2011-03-06,65,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605
2011-03-07,66,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872
2011-03-08,67,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133
2011-03-09,68,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891
2011-03-10,69,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623
2011-03-11,70,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977
2011-03-12,71,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132
2011-03-13,72,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417
2011-03-14,73,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046
2011-03-15,74,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056
2011-03-16,75,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192
2011-03-17,76,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744
2011-03-18,77,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239
2011-03-19,78,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117
2011-04-01,91,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227
2011-04-02,92,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252
2011-04-03,93,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249
2011-04-04,94,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115
2011-04-05,95,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795
2011-04-06,96,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808
2011-04-07,97,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141
2011-04-08,98,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471
2011-04-09,99,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455
2011-04-10,100,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895
2011-04-11,101,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348
2011-04-12,102,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034
2011-04-13,103,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162
2011-04-14,104,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267
2011-04-15,105,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126
